Date,Region,Category,Revenue,Profit,Quantity
2024-10-25,North America,Apparel,3262.96,976.1,25.0
2024-12-14,North America,Beauty,42.9,8.88,3.0
2022-09-27,EMEA,Home & Garden,3449.53,352.54,8.0
2024-10-08,LATAM,Electronics,4239.25,534.51,41.0
2023-11-30,Middle East,Beauty,16082.86,3633.37,49.0
2022-12-22,Middle East,Beauty,5773.04,1698.18,20.0
2024-12-18,APAC,Home & Garden,15247.44,2378.73,45.0
2022-04-17,LATAM,Electronics,5310.66,1225.81,24.0
2022-04-29,North America,Food & Beverage,11990.9,4426.9,30.0
2024-01-06,Middle East,Beauty,296.56,59.63,17.0
2022-03-10,North America,Beauty,1804.78,665.03,22.0
2023-09-13,LATAM,Electronics,2559.1,920.03,11.0
2024-07-23,Middle East,Beauty,635.41,49.93,5.0
2022-05-08,APAC,Electronics,3454.17,,8.0
2024-03-18,APAC,Sports,9343.36,1864.18,27.0
2023-06-21,LATAM,Food & Beverage,7385.59,1417.01,28.0
2022-04-19,APAC,Food & Beverage,5958.67,645.19,14.0
2024-03-18,North America,Beauty,1282.55,454.15,11.0
2024-11-10,North America,Electronics,10057.97,2626.13,25.0
2023-01-11,Middle East,Electronics,7267.43,586.2,15.0
2023-04-02,North America,Food & Beverage,6323.9,497.73,20.0
2022-09-01,Middle East,Electronics,931.65,74.98,11.0
2023-04-28,LATAM,Apparel,2424.61,908.89,26.0
2022-09-22,APAC,Apparel,14877.47,4892.06,33.0
2023-08-03,APAC,Food & Beverage,3174.96,865.74,24.0
2024-03-24,North America,Sports,10149.18,3603.38,33.0
2022-09-26,APAC,Apparel,12504.27,2970.32,31.0
2023-04-05,North America,Apparel,6915.42,1195.12,35.0
2022-05-22,LATAM,Food & Beverage,14089.22,3000.67,36.0
2023-04-29,EMEA,Food & Beverage,5726.78,1437.11,34.0
2022-10-31,EMEA,Electronics,8224.64,677.51,25.0
2023-09-22,Middle East,Home & Garden,4268.76,1569.69,46.0
2022-08-29,EMEA,Food & Beverage,1148.43,144.26,24.0
2024-09-07,LATAM,Food & Beverage,19603.48,2819.43,37.0
2022-08-13,Middle East,Food & Beverage,4876.81,997.58,27.0
2023-04-27,Middle East,Home & Garden,13276.88,817.56,27.0
2024-01-17,LATAM,Apparel,14911.01,4916.35,46.0
2024-03-27,Middle East,Apparel,19021.37,5378.72,44.0
2024-10-25,APAC,Food & Beverage,6112.32,438.88,32.0
2023-08-06,Middle East,Beauty,519.9,93.72,9.0
2023-11-05,APAC,Electronics,1933.76,419.41,6.0
2023-05-08,APAC,Food & Beverage,268.84,89.31,8.0
2023-10-22,APAC,Food & Beverage,10805.49,2465.55,44.0
2023-01-15,APAC,Food & Beverage,6477.46,1254.73,16.0
2023-01-17,EMEA,Apparel,2253.51,745.27,11.0
2024-06-21,LATAM,Home & Garden,19432.2,6790.45,43.0
2024-08-01,North America,Sports,1740.16,409.76,11.0
2023-08-26,APAC,Food & Beverage,19895.3,5130.12,48.0
2024-12-13,APAC,Electronics,5873.16,843.23,43.0
2024-06-01,EMEA,Apparel,5915.31,1232.15,20.0
2024-05-28,North America,Apparel,2357.33,548.49,11.0
2024-11-13,EMEA,Electronics,5454.99,1473.06,49.0
2024-05-12,LATAM,Beauty,5570.64,940.82,
2024-08-04,EMEA,Home & Garden,7162.56,815.11,33.0
2023-12-21,APAC,Apparel,18445.36,2111.53,36.0
2022-08-07,APAC,Sports,3799.88,943.4,13.0
2022-12-12,EMEA,Apparel,122.61,25.81,2.0
2024-11-20,APAC,Sports,16776.25,5442.6,47.0
2024-08-19,LATAM,Sports,6772.26,1166.67,27.0
2023-08-10,Middle East,Beauty,6588.21,2397.95,34.0
2023-04-13,EMEA,Food & Beverage,3134.48,1044.66,25.0
2022-06-21,LATAM,Food & Beverage,11884.91,3589.85,28.0
2023-10-20,EMEA,Apparel,13843.45,3248.34,44.0
2024-04-30,North America,Sports,1065.54,391.74,7.0
2022-12-29,Middle East,Food & Beverage,16570.27,1150.09,31.0
2024-06-04,LATAM,Food & Beverage,904.05,240.57,18.0
2023-02-10,EMEA,Apparel,5381.02,1200.76,39.0
2023-10-24,Middle East,Sports,6217.92,1209.83,14.0
2023-09-28,LATAM,Beauty,217.97,24.28,16.0
2022-06-05,Middle East,Home & Garden,2758.74,931.21,10.0
2024-10-09,APAC,Apparel,2313.04,490.53,9.0
2022-08-19,APAC,Apparel,2796.46,320.76,21.0
2024-06-18,North America,Beauty,120.03,16.97,7.0
2024-05-03,APAC,Food & Beverage,1315.54,470.37,13.0
2022-10-29,LATAM,Electronics,15452.37,2166.84,49.0
2023-06-07,Middle East,Home & Garden,2940.89,484.99,21.0
2023-02-18,North America,Beauty,15067.06,3434.92,42.0
2023-08-18,LATAM,Food & Beverage,8934.29,806.67,35.0
2022-08-08,EMEA,Beauty,1097.4,311.81,13.0
2023-05-22,EMEA,Apparel,15666.89,1461.9,
2023-01-13,North America,Sports,93.73,24.42,1.0
2022-09-14,North America,Beauty,656.0,79.81,16.0
2024-05-19,North America,Sports,5305.29,373.47,23.0
2024-10-25,EMEA,Sports,3348.21,1114.31,33.0
2022-11-25,EMEA,Home & Garden,2807.99,395.18,20.0
2022-10-19,APAC,Electronics,3450.73,911.75,18.0
2022-05-03,EMEA,Food & Beverage,5008.74,703.12,36.0
2022-02-20,North America,Electronics,16501.46,6182.29,38.0
2022-03-12,LATAM,Beauty,398.8,57.64,2.0
2024-12-11,Middle East,Food & Beverage,5660.28,480.42,49.0
2023-05-09,APAC,Beauty,19427.06,6913.72,40.0
2022-12-11,Middle East,Food & Beverage,1959.78,497.22,24.0
2022-06-22,APAC,Electronics,11083.25,2196.99,30.0
2023-03-07,EMEA,Electronics,6765.79,825.22,21.0
2022-12-01,North America,Apparel,6080.9,848.52,25.0
2024-04-27,APAC,Food & Beverage,7597.28,2123.43,22.0
2024-12-28,Middle East,Beauty,13629.92,2692.24,39.0
2024-08-26,APAC,Sports,2430.12,517.47,28.0
2023-06-20,EMEA,Electronics,667.22,100.86,3.0
2023-01-18,LATAM,Food & Beverage,3555.51,809.25,17.0
2022-02-19,Middle East,Beauty,1653.9,446.91,8.0
2022-02-07,EMEA,Home & Garden,16585.68,2136.26,40.0
2023-11-08,APAC,Beauty,6164.98,1085.48,46.0
2022-12-14,Middle East,Sports,5316.51,581.87,35.0
2023-02-20,EMEA,Home & Garden,142.33,43.88,3.0
2024-05-28,LATAM,Food & Beverage,11751.27,2241.95,39.0
2023-08-12,EMEA,Food & Beverage,4195.32,1224.93,10.0
2023-01-11,LATAM,Apparel,10679.04,2662.45,28.0
2023-02-08,Middle East,Beauty,19369.52,5408.92,44.0
2024-09-12,LATAM,Electronics,11670.35,826.61,37.0
2022-09-06,Middle East,Sports,4677.56,1504.04,32.0
2022-09-05,North America,Apparel,95.34,13.56,2.0
2024-06-24,North America,Beauty,2693.22,365.36,15.0
2023-07-25,EMEA,Beauty,936.51,166.16,3.0
2024-04-09,Middle East,Home & Garden,559.54,114.75,7.0
2022-04-06,Middle East,Beauty,1737.53,139.49,21.0
2024-11-18,APAC,Food & Beverage,679.43,197.63,3.0
2024-12-22,APAC,Food & Beverage,9813.19,2556.39,28.0
2023-12-16,Middle East,Sports,10871.61,978.54,38.0
2022-05-01,Middle East,Food & Beverage,2874.29,721.04,12.0
2022-10-15,APAC,Beauty,875.36,321.81,45.0
2023-07-12,EMEA,Home & Garden,305.19,74.46,14.0
2022-03-19,Middle East,Food & Beverage,533.3,44.16,46.0
2023-09-08,Middle East,Home & Garden,366.1,25.19,2.0
2024-10-03,Middle East,Sports,1317.87,463.14,35.0
2024-11-05,LATAM,Food & Beverage,9204.19,2017.45,30.0
2023-01-21,North America,Sports,9269.15,3090.67,42.0
2023-01-31,North America,Beauty,1180.47,425.58,42.0
2024-02-08,Middle East,Home & Garden,1557.9,208.71,8.0
2022-11-19,Middle East,Apparel,6800.87,871.57,36.0
2024-09-22,North America,Food & Beverage,3400.15,738.13,35.0
2024-08-06,APAC,Home & Garden,8923.34,724.43,49.0
2022-12-15,EMEA,Sports,9942.19,2188.12,34.0
2022-01-18,Middle East,Home & Garden,4506.39,1065.53,17.0
2022-12-09,LATAM,Beauty,4853.41,668.03,14.0
2023-09-02,Middle East,Apparel,9778.58,3390.73,29.0
2023-02-10,LATAM,Home & Garden,8524.91,910.08,18.0
2023-12-02,Middle East,Apparel,12899.09,4058.92,25.0
2024-06-24,Middle East,Food & Beverage,6762.34,771.01,20.0
2022-09-15,LATAM,Beauty,1576.3,281.4,4.0
2022-11-29,LATAM,Home & Garden,1585.34,332.76,44.0
2024-02-17,LATAM,Electronics,1912.83,649.02,41.0
2023-03-08,Middle East,Home & Garden,4145.81,1521.86,15.0
2022-06-01,LATAM,Sports,5188.22,958.96,22.0
2024-10-22,Middle East,Home & Garden,6554.76,1899.38,30.0
2022-07-21,LATAM,Apparel,4733.68,730.29,12.0
2023-09-06,North America,Electronics,5766.91,1932.23,13.0
2023-06-28,LATAM,Apparel,11593.77,4057.7,38.0
2022-11-11,LATAM,Sports,2750.14,880.44,17.0
2024-02-04,LATAM,Beauty,2990.03,185.71,15.0
2024-03-30,EMEA,Electronics,4919.5,1583.24,43.0
2022-02-15,LATAM,Beauty,5362.71,743.16,20.0
2022-11-03,Middle East,Home & Garden,12202.67,1079.32,36.0
2022-02-21,APAC,Apparel,10387.49,3383.19,32.0
2022-04-10,North America,Sports,382.45,119.34,4.0
2023-08-21,LATAM,Apparel,9670.9,1154.67,32.0
2023-03-14,EMEA,Home & Garden,1220.55,68.86,5.0
2023-12-29,North America,Sports,1055.53,62.16,4.0
2022-02-03,North America,Home & Garden,12767.42,3858.63,40.0
2023-05-28,North America,Apparel,13667.06,1461.75,41.0
2022-10-23,North America,Apparel,23343.03,3252.9,44.0
2024-03-23,EMEA,Beauty,6707.73,1253.82,32.0
2024-04-10,APAC,Beauty,341.64,106.19,
2024-11-01,North America,Sports,7484.87,1717.74,29.0
2024-08-21,APAC,Home & Garden,24367.3,1856.08,48.0
2022-07-09,EMEA,Electronics,2999.7,1050.78,9.0
2024-08-05,Middle East,Home & Garden,397.43,78.98,8.0
2022-05-28,North America,Sports,9923.99,2367.25,42.0
2023-09-23,North America,Sports,320.15,87.36,6.0
2022-12-20,APAC,Sports,2543.22,241.69,6.0
2023-10-19,North America,Sports,7013.48,1368.21,43.0
2023-09-14,APAC,Electronics,5037.87,443.18,27.0
2022-04-29,APAC,Home & Garden,11192.15,1566.51,37.0
2024-04-16,Middle East,Electronics,3204.62,589.16,48.0
2022-09-07,APAC,Electronics,14176.75,3411.76,46.0
2023-11-14,North America,Electronics,4707.51,1147.77,10.0
2022-08-04,APAC,Home & Garden,1384.36,279.69,3.0
2024-01-04,APAC,Beauty,10326.17,2453.55,28.0
2024-04-08,North America,Apparel,3473.81,870.39,40.0
2024-09-20,EMEA,Electronics,235.46,18.98,8.0
2024-03-08,North America,Home & Garden,8823.92,1539.15,30.0
2022-05-23,Middle East,Beauty,13741.16,2554.15,27.0
2024-08-10,North America,Food & Beverage,5066.73,962.64,17.0
2024-05-29,APAC,Sports,5679.89,389.14,14.0
2022-06-20,EMEA,Beauty,1049.39,284.74,38.0
2023-07-07,Middle East,Electronics,285.63,46.53,3.0
2024-10-16,North America,Beauty,4920.54,317.93,49.0
2024-07-01,APAC,Beauty,630.06,129.92,2.0
2022-04-02,EMEA,Sports,11950.43,2306.49,34.0
2022-10-20,APAC,Apparel,1141.78,291.5,35.0
2023-01-09,EMEA,Food & Beverage,18075.36,4435.19,43.0
2022-04-30,EMEA,Beauty,873.48,139.88,9.0
2024-12-23,APAC,Home & Garden,700.13,145.63,14.0
2022-03-18,North America,Beauty,11616.07,1683.43,39.0
2024-06-13,North America,Beauty,3209.15,333.11,18.0
2024-07-27,EMEA,Apparel,149.45,53.91,4.0
2022-09-26,North America,Apparel,7510.87,1416.51,19.0
2023-07-18,North America,Apparel,4717.58,1232.02,14.0
2022-05-20,Middle East,Home & Garden,532.86,47.86,2.0
2023-10-21,APAC,Food & Beverage,5200.1,687.82,23.0
2022-03-18,Middle East,Electronics,3130.95,591.37,13.0
2022-08-06,EMEA,Home & Garden,633.87,100.24,8.0
2023-07-10,Middle East,Sports,1187.2,164.59,13.0
2023-06-05,Middle East,Apparel,298.77,55.42,30.0
2022-12-21,EMEA,Sports,18328.76,6199.49,39.0
2022-12-28,North America,Apparel,261.63,47.54,4.0
2024-04-16,LATAM,Home & Garden,538.81,165.3,2.0
2024-09-20,EMEA,Electronics,1943.06,148.12,10.0
2024-10-19,North America,Apparel,8438.25,2311.7,25.0
2023-12-13,EMEA,Apparel,14742.91,1926.27,35.0
2023-10-24,LATAM,Sports,13284.62,1444.98,47.0
2024-09-04,APAC,Apparel,12549.91,3893.27,49.0
2024-06-21,Middle East,Electronics,12103.05,1100.02,42.0
2023-02-15,North America,Apparel,9827.75,3067.32,30.0
2022-09-23,North America,Apparel,7021.91,2380.76,24.0
2024-02-03,APAC,Sports,15730.33,2715.25,46.0
2022-01-09,North America,Food & Beverage,2437.62,299.66,35.0
2022-09-28,LATAM,Sports,4371.38,1598.2,47.0
2023-08-14,North America,Sports,4511.17,280.92,48.0
2023-05-02,North America,Beauty,2492.62,196.87,31.0
2022-10-30,Middle East,Electronics,3667.17,988.16,46.0
2022-06-15,North America,Apparel,730.11,114.72,12.0
2024-07-11,LATAM,Apparel,10528.32,2493.46,31.0
2023-08-27,LATAM,Electronics,227.84,62.9,1.0
2023-11-05,APAC,Sports,909.0,126.53,15.0
2024-05-28,Middle East,Home & Garden,1921.45,285.31,27.0
2024-03-25,LATAM,Food & Beverage,8457.11,1213.01,48.0
2022-09-26,Middle East,Food & Beverage,175.72,19.24,9.0
2022-02-05,North America,Electronics,1359.67,225.5,35.0
2022-10-06,APAC,Apparel,3608.86,776.43,33.0
2024-04-20,Middle East,Electronics,8111.83,1164.23,36.0
2023-07-23,Middle East,Electronics,19944.13,1161.85,48.0
2024-08-17,EMEA,Food & Beverage,8964.88,1305.59,32.0
2022-05-24,LATAM,Sports,749.57,64.99,17.0
2023-02-22,APAC,Apparel,3820.48,345.87,12.0
2024-04-01,LATAM,Electronics,6531.5,951.08,25.0
2022-02-19,LATAM,Sports,512.53,64.52,4.0
2023-04-18,EMEA,Home & Garden,2454.6,,6.0
2024-08-15,North America,Home & Garden,1511.68,197.41,10.0
2024-05-26,APAC,Food & Beverage,8174.63,1830.16,21.0
2022-11-22,Middle East,Food & Beverage,1454.95,97.19,39.0
2022-01-25,North America,Beauty,3313.43,740.69,17.0
2022-08-10,APAC,Electronics,4562.39,1682.12,42.0
2024-08-07,North America,Food & Beverage,2718.33,677.69,13.0
2022-09-07,North America,Apparel,7604.16,546.2,34.0
2022-09-25,LATAM,Beauty,130.14,34.04,
2023-12-23,APAC,Food & Beverage,7748.64,2884.9,35.0
2024-10-17,APAC,Apparel,8805.75,1035.83,18.0
2022-10-21,North America,Beauty,2576.89,344.05,47.0
2022-11-21,Middle East,Home & Garden,7182.42,1685.1,25.0
2022-01-12,EMEA,Home & Garden,11640.81,1033.0,33.0
2024-05-02,EMEA,Electronics,6449.09,1591.0,24.0
2024-04-02,North America,Apparel,16573.16,5243.77,36.0
2023-11-10,LATAM,Electronics,1256.25,276.07,10.0
2024-04-06,APAC,Electronics,11925.05,3583.66,35.0
2022-10-30,LATAM,Beauty,16806.24,1238.98,46.0
2024-12-06,EMEA,Electronics,3827.44,233.0,20.0
2022-06-09,North America,Apparel,8059.65,3040.16,49.0
2023-02-19,Middle East,Electronics,2054.36,418.85,49.0
2024-06-11,North America,Apparel,5209.25,1846.12,11.0
2023-05-12,EMEA,Food & Beverage,10539.15,967.97,41.0
2022-03-20,North America,Beauty,11312.92,1180.13,47.0
2023-08-08,LATAM,Beauty,7547.0,565.31,14.0
2023-12-03,Middle East,Home & Garden,1497.06,324.6,3.0
2023-08-04,EMEA,Sports,932.29,300.99,13.0
2022-11-05,North America,Home & Garden,1903.23,412.7,4.0
2024-06-06,APAC,Beauty,5225.17,1056.89,30.0
2022-11-28,EMEA,Food & Beverage,175.19,65.76,1.0
2022-09-15,LATAM,Electronics,5381.5,633.71,16.0
2022-03-30,EMEA,Sports,168.55,12.51,6.0
2023-06-06,North America,Home & Garden,14488.4,4725.67,49.0
2024-07-26,North America,Food & Beverage,7775.7,535.59,22.0
2022-05-22,APAC,Electronics,605.88,74.25,33.0
2022-05-27,Middle East,Food & Beverage,5077.54,1741.02,12.0
2024-06-29,Middle East,Beauty,15966.74,4544.57,45.0
2022-04-08,APAC,Apparel,6606.03,1399.51,27.0
2024-05-31,North America,Food & Beverage,3288.67,838.94,7.0
2023-12-16,North America,Apparel,1980.77,307.7,9.0
2022-11-28,Middle East,Beauty,15295.57,1175.7,36.0
2023-12-16,North America,Electronics,3718.94,1162.02,30.0
2023-05-15,APAC,Home & Garden,8366.39,1217.14,18.0
2023-06-21,LATAM,Beauty,3431.54,1060.21,14.0
2023-09-26,North America,Home & Garden,4521.39,1688.38,10.0
2022-12-05,EMEA,Sports,7444.76,1044.9,19.0
2023-06-28,Middle East,Sports,15527.4,5366.36,48.0
2023-06-29,Middle East,Sports,76.01,10.35,4.0
2023-05-26,North America,Apparel,9205.11,854.2,24.0
2023-09-03,North America,Beauty,7793.95,2174.64,23.0
2022-07-28,EMEA,Food & Beverage,5317.21,1928.92,28.0
2022-06-12,EMEA,Sports,10392.79,2028.06,24.0
2023-04-06,EMEA,Electronics,7389.56,2764.91,21.0
2024-06-25,Middle East,Beauty,681.98,187.88,6.0
2022-12-17,EMEA,Sports,477.94,127.17,3.0
2022-06-17,Middle East,Electronics,3232.24,821.18,11.0
2024-11-18,EMEA,Beauty,2800.14,337.64,23.0
2022-11-21,LATAM,Food & Beverage,1392.63,165.45,7.0
2023-09-20,EMEA,Beauty,12688.75,3760.61,39.0
2024-01-06,Middle East,Beauty,7947.35,1772.28,49.0
2023-05-07,Middle East,Sports,7188.08,398.28,32.0
2022-01-16,North America,Sports,852.69,134.38,43.0
2023-04-26,Middle East,Electronics,8327.87,2729.97,42.0
2022-12-23,North America,Beauty,13127.38,1247.68,46.0
2023-02-01,North America,Apparel,313.6,114.71,1.0
2023-07-15,Middle East,Food & Beverage,1879.39,428.1,41.0
2024-01-22,Middle East,Apparel,13595.33,2899.34,44.0
2023-10-21,Middle East,Beauty,4057.93,1153.15,
2023-10-27,Middle East,Apparel,2163.12,122.87,27.0
2023-01-18,EMEA,Home & Garden,714.93,251.37,43.0
2024-08-23,LATAM,Food & Beverage,10952.26,,41.0
2022-09-01,LATAM,Home & Garden,16414.52,5626.05,45.0
2023-12-08,North America,Beauty,5940.98,1264.92,18.0
2023-05-12,APAC,Home & Garden,1852.48,161.14,37.0
2022-09-04,LATAM,Electronics,12483.74,2428.82,31.0
2023-05-26,EMEA,Beauty,18745.36,7051.39,45.0
2022-11-25,EMEA,Apparel,692.12,152.68,46.0
2023-10-19,North America,Home & Garden,2172.29,111.09,12.0
2024-05-24,APAC,Food & Beverage,4233.18,1352.07,16.0
2022-06-11,APAC,Beauty,3958.03,629.39,10.0
2023-11-08,EMEA,Home & Garden,1059.48,89.04,38.0
2022-11-23,APAC,Electronics,17351.13,2576.45,45.0
2024-04-28,LATAM,Food & Beverage,1040.32,267.44,5.0
2023-09-06,LATAM,Electronics,20521.99,7375.17,46.0
2024-07-01,LATAM,Food & Beverage,1416.85,233.29,10.0
2024-07-05,Middle East,Electronics,6239.66,2178.2,45.0
2022-01-11,LATAM,Sports,8627.91,1880.79,44.0
2022-06-08,EMEA,Sports,14366.88,2327.12,45.0
2022-04-30,EMEA,Home & Garden,9728.32,1696.53,21.0
2023-02-27,EMEA,Apparel,10898.71,1474.49,24.0
2024-09-19,LATAM,Food & Beverage,2590.94,499.58,25.0
2023-04-29,EMEA,Food & Beverage,1263.34,223.03,3.0
2024-02-25,LATAM,Home & Garden,20979.71,7457.16,48.0
2023-08-15,North America,Electronics,3381.33,824.13,17.0
2023-06-08,North America,Apparel,299.88,110.09,1.0
2022-08-29,APAC,Home & Garden,575.47,,2.0
2022-05-24,APAC,Apparel,17045.23,5016.69,43.0
2022-04-25,Middle East,Beauty,3683.4,481.99,8.0
2022-07-17,APAC,Home & Garden,464.9,153.99,21.0
2022-05-21,APAC,Electronics,6812.06,1116.73,25.0
2024-08-23,LATAM,Sports,4383.87,1082.84,49.0
2023-04-22,APAC,Beauty,577.98,35.5,2.0
2022-03-31,Middle East,Sports,215.18,50.63,7.0
2022-10-03,LATAM,Food & Beverage,802.11,195.5,10.0
2023-09-27,North America,Food & Beverage,2451.53,837.47,36.0
2022-09-05,Middle East,Home & Garden,1563.28,204.45,25.0
2023-03-31,LATAM,Sports,6551.41,2102.09,22.0
2022-03-21,North America,Electronics,4496.06,826.04,46.0
2024-03-11,APAC,Home & Garden,,1389.41,18.0
2023-07-11,EMEA,Beauty,6929.97,2016.73,30.0
2022-12-29,APAC,Beauty,5994.26,934.95,31.0
2023-11-17,LATAM,Sports,2689.01,617.75,9.0
2022-10-30,LATAM,Food & Beverage,12138.03,2816.6,23.0
2024-10-10,EMEA,Food & Beverage,569.17,94.04,2.0
2022-04-01,EMEA,Food & Beverage,1926.86,627.89,17.0
2022-09-07,North America,Beauty,5305.08,1565.06,15.0
2022-04-21,North America,Apparel,5434.26,997.89,27.0
2023-02-18,LATAM,Sports,1372.15,198.1,10.0
2023-09-21,North America,Apparel,1165.56,404.29,9.0
2023-02-06,Middle East,Beauty,1059.57,311.41,24.0
2022-12-29,EMEA,Food & Beverage,18291.72,5483.66,46.0
2024-11-13,LATAM,Sports,5268.03,1505.99,14.0
2022-04-28,APAC,Food & Beverage,17406.84,6461.66,49.0
2023-01-11,EMEA,Sports,9932.52,2466.75,36.0
2023-10-06,APAC,Sports,1601.05,122.99,32.0
2024-12-20,North America,Food & Beverage,14331.02,1988.63,47.0
2022-12-19,LATAM,Electronics,8205.69,2163.63,33.0
2022-08-10,North America,Apparel,12918.65,3113.81,33.0
2024-09-26,EMEA,Apparel,12733.96,2482.15,42.0
2024-03-21,North America,Home & Garden,10079.57,2637.62,36.0
2024-12-08,LATAM,Electronics,3651.97,645.42,33.0
2023-02-23,LATAM,Home & Garden,2136.92,789.14,23.0
2022-07-22,APAC,Sports,,441.35,13.0
2023-12-08,North America,Electronics,4716.33,555.89,33.0
2024-07-17,APAC,Electronics,1399.54,484.46,10.0
2024-03-28,Middle East,Food & Beverage,2001.07,161.86,5.0
2022-05-09,APAC,Sports,7076.7,2303.02,18.0
2024-04-28,North America,Home & Garden,202.06,15.75,8.0
2022-03-24,Middle East,Apparel,1924.75,363.32,7.0
2024-12-12,APAC,Beauty,8859.9,1392.98,47.0
2023-07-11,APAC,Electronics,3127.11,276.39,11.0
2022-03-12,EMEA,Apparel,7311.49,1828.43,20.0
2023-10-30,LATAM,Electronics,20711.6,5987.23,44.0
2022-08-24,North America,Beauty,6263.73,352.78,24.0
2023-07-03,Middle East,Electronics,5263.13,660.3,19.0
2023-02-28,EMEA,Apparel,2966.41,877.82,48.0
2024-12-05,Middle East,Beauty,8428.99,734.16,19.0
2023-10-31,North America,Sports,5168.74,782.88,48.0
2022-09-28,EMEA,Electronics,5334.79,388.49,32.0
2022-01-01,APAC,Sports,1566.59,509.35,39.0
2023-05-01,LATAM,Beauty,1721.3,394.82,11.0
2024-08-05,EMEA,Home & Garden,8033.91,631.22,30.0
2024-11-26,EMEA,Electronics,4130.67,1401.45,18.0
2024-02-09,LATAM,Sports,3469.56,365.92,30.0
2022-05-10,Middle East,Electronics,840.3,313.73,14.0
2022-02-01,North America,Food & Beverage,9120.29,3028.78,42.0
2024-03-15,APAC,Apparel,9949.18,3425.69,23.0
2022-09-10,APAC,Beauty,14929.87,1245.75,49.0
2024-12-13,LATAM,Food & Beverage,3849.05,898.11,36.0
2022-02-18,EMEA,Beauty,4440.5,,11.0
2024-06-06,North America,Sports,1672.86,476.9,39.0
2022-06-09,EMEA,Electronics,8854.22,,23.0
2022-01-22,LATAM,Sports,2846.96,316.36,30.0
2022-07-09,Middle East,Home & Garden,2663.95,321.24,9.0
2024-04-18,LATAM,Home & Garden,2569.69,720.73,11.0
2023-05-08,LATAM,Electronics,6316.41,1297.12,21.0
2023-02-07,Middle East,Sports,22671.53,3027.74,49.0
2022-06-07,North America,Electronics,20381.2,3049.02,39.0
2023-05-08,EMEA,Home & Garden,1398.49,192.17,39.0
2023-10-01,APAC,Home & Garden,2031.98,508.99,31.0
