Date,Region,Category,Revenue,Profit,Quantity,Profit_Margin_Pct
2024-06-01,EMEA,Apparel,5915.31,1232.15,20.0,20.829846618351365
2024-05-28,North America,Apparel,2357.33,548.49,11.0,23.26742543470791
2024-11-13,EMEA,Electronics,5454.99,1473.06,49.0,27.00389918221665
2024-05-12,LATAM,Beauty,5570.64,940.82,25.0,16.888903249895883
2024-08-04,EMEA,Home & Garden,7162.56,815.11,33.0,11.380148997006657
2023-12-21,APAC,Apparel,18445.36,2111.53,36.0,11.447485980213996
2022-08-07,APAC,Sports,3799.88,943.4,13.0,24.82709980315168
2022-12-12,EMEA,Apparel,122.61,25.81,2.0,21.050485278525404
2024-11-20,APAC,Sports,16776.25,5442.6,47.0,32.44229193055659
2024-08-19,LATAM,Sports,6772.26,1166.67,27.0,17.22718856039195
2023-08-10,Middle East,Beauty,6588.21,2397.95,34.0,36.39759509790974
2023-04-13,EMEA,Food & Beverage,3134.48,1044.66,25.0,33.32801613026722
2022-06-21,LATAM,Food & Beverage,11884.91,3589.85,28.0,30.205108831282697
2023-10-20,EMEA,Apparel,13843.45,3248.34,44.0,23.464815490358255
2024-04-30,North America,Sports,1065.54,391.74,7.0,36.764457458190215
2022-12-29,Middle East,Food & Beverage,16570.27,1150.09,31.0,6.940683525374059
2024-06-04,LATAM,Food & Beverage,904.05,240.57,18.0,26.610253857640622
2023-02-10,EMEA,Apparel,5381.02,1200.76,39.0,22.314728434386044
2023-10-24,Middle East,Sports,6217.92,1209.83,14.0,19.457149657763367
2023-09-28,LATAM,Beauty,217.97,24.28,16.0,11.13914758911777
2022-06-05,Middle East,Home & Garden,2758.74,931.21,10.0,33.754902600462536
2024-10-09,APAC,Apparel,2313.04,490.53,9.0,21.207155950610453
2022-08-19,APAC,Apparel,2796.46,320.76,21.0,11.47021591583645
2024-06-18,North America,Beauty,120.03,16.97,7.0,14.138132133633258
2024-05-03,APAC,Food & Beverage,1315.54,470.37,13.0,35.75489912887483
2022-10-29,LATAM,Electronics,15452.37,2166.84,49.0,14.0227033134723
2023-06-07,Middle East,Home & Garden,2940.89,484.99,21.0,16.491266249332686
2023-02-18,North America,Beauty,15067.06,3434.92,42.0,22.797546435734645
2023-08-18,LATAM,Food & Beverage,8934.29,806.67,35.0,9.028921156577633
2022-08-08,EMEA,Beauty,1097.4,311.81,13.0,28.413522872243487
2023-05-22,EMEA,Apparel,15666.89,1461.9,26.0,9.331143577314963
2023-01-13,North America,Sports,93.73,24.42,1.0,26.053558092393043
2022-09-14,North America,Beauty,656.0,79.81,16.0,12.166158536585366
2024-05-19,North America,Sports,5305.29,373.47,23.0,7.039577478328235
2024-10-25,EMEA,Sports,3348.21,1114.31,33.0,33.28076793271629
2022-11-25,EMEA,Home & Garden,2807.99,395.18,20.0,14.073411942350223
2022-10-19,APAC,Electronics,3450.73,911.75,18.0,26.421945501386663
2022-05-03,EMEA,Food & Beverage,5008.74,703.12,36.0,14.037861817542934
2022-02-20,North America,Electronics,16501.46,6182.29,38.0,37.46510914791782
2022-03-12,LATAM,Beauty,398.8,57.64,2.0,14.45336008024072
2024-12-11,Middle East,Food & Beverage,5660.28,480.42,49.0,8.487565986134962
2023-05-09,APAC,Beauty,19427.06,6913.72,40.0,35.588092073633376
2022-12-11,Middle East,Food & Beverage,1959.78,497.22,24.0,25.37121513639286
2022-06-22,APAC,Electronics,11083.25,2196.99,30.0,19.822615207633138
2023-03-07,EMEA,Electronics,6765.79,825.22,21.0,12.196949654068483
2022-12-01,North America,Apparel,6080.9,848.52,25.0,13.953855514808664
2024-04-27,APAC,Food & Beverage,7597.28,2123.43,22.0,27.949871532969695
2024-12-28,Middle East,Beauty,13629.92,2692.24,39.0,19.75242701351145
2024-08-26,APAC,Sports,2430.12,517.47,28.0,21.29401017233717
2023-06-20,EMEA,Electronics,667.22,100.86,3.0,15.116453343724709
2023-01-18,LATAM,Food & Beverage,3555.51,809.25,17.0,22.76044786823831
2022-02-19,Middle East,Beauty,1653.9,446.91,8.0,27.021585343732994
2022-02-07,EMEA,Home & Garden,16585.68,2136.26,40.0,12.880147211329293
2023-11-08,APAC,Beauty,6164.98,1085.48,46.0,17.60719418392274
2022-12-14,Middle East,Sports,5316.51,581.87,35.0,10.944585827920948
2023-02-20,EMEA,Home & Garden,142.33,43.88,3.0,30.829761821119934
2024-05-28,LATAM,Food & Beverage,11751.27,2241.95,39.0,19.07836344497233
2023-08-12,EMEA,Food & Beverage,4195.32,1224.93,10.0,29.197534395469244
2023-01-11,LATAM,Apparel,10679.04,2662.45,28.0,24.931548154141193
2023-02-08,Middle East,Beauty,19369.52,5408.92,44.0,27.924904695624882
2024-09-12,LATAM,Electronics,11670.35,826.61,37.0,7.0829923695518975
2022-09-06,Middle East,Sports,4677.56,1504.04,32.0,32.15437108235918
2022-09-05,North America,Apparel,95.34,13.56,2.0,14.22278162366268
2024-06-24,North America,Beauty,2693.22,365.36,15.0,13.56591737771144
2023-07-25,EMEA,Beauty,936.51,166.16,3.0,17.74246938099967
2024-04-09,Middle East,Home & Garden,559.54,114.75,7.0,20.507917217714553
2022-04-06,Middle East,Beauty,1737.53,139.49,21.0,8.028062824814535
2024-11-18,APAC,Food & Beverage,679.43,197.63,3.0,29.087617561779727
2024-12-22,APAC,Food & Beverage,9813.19,2556.39,28.0,26.050550330728335
2023-12-16,Middle East,Sports,10871.61,978.54,38.0,9.000874755441005
2022-05-01,Middle East,Food & Beverage,2874.29,721.04,12.0,25.08584728750404
2022-10-15,APAC,Beauty,875.36,321.81,45.0,36.76316029976238
2023-07-12,EMEA,Home & Garden,305.19,74.46,14.0,24.39791605229529
2022-03-19,Middle East,Food & Beverage,533.3,44.16,46.0,8.28051753234577
2023-09-08,Middle East,Home & Garden,366.1,25.19,2.0,6.88063370663753
2024-10-03,Middle East,Sports,1317.87,463.14,35.0,35.143071774909515
2024-11-05,LATAM,Food & Beverage,9204.19,2017.45,30.0,21.918821754005513
2023-01-21,North America,Sports,9269.15,3090.67,42.0,33.34361834688187
2023-01-31,North America,Beauty,1180.47,425.58,42.0,36.051742102721796
2024-02-08,Middle East,Home & Garden,1557.9,208.71,8.0,13.39688041594454
2022-11-19,Middle East,Apparel,6800.87,871.57,36.0,12.815566243730583
2024-09-22,North America,Food & Beverage,3400.15,738.13,35.0,21.708748143464256
2024-08-06,APAC,Home & Garden,8923.34,724.43,49.0,8.118372716942309
2022-12-15,EMEA,Sports,9942.19,2188.12,34.0,22.008430738096937
2022-01-18,Middle East,Home & Garden,4506.39,1065.53,17.0,23.644868730846643
2022-12-09,LATAM,Beauty,4853.41,668.03,14.0,13.764136967616583
2023-09-02,Middle East,Apparel,9778.58,3390.73,29.0,34.675075522212836
2023-02-10,LATAM,Home & Garden,8524.91,910.08,18.0,10.675537923567523
2023-12-02,Middle East,Apparel,12899.09,4058.92,25.0,31.466715869103943
2024-06-24,Middle East,Food & Beverage,6762.34,771.01,20.0,11.401526690465134
2022-09-15,LATAM,Beauty,1576.3,281.4,4.0,17.85193173888219
2022-11-29,LATAM,Home & Garden,1585.34,332.76,44.0,20.989819218590334
2024-02-17,LATAM,Electronics,1912.83,649.02,41.0,33.92983171531187
2023-03-08,Middle East,Home & Garden,4145.81,1521.86,15.0,36.70838750449248
2022-06-01,LATAM,Sports,5188.22,958.96,22.0,18.483410495314384
2024-10-22,Middle East,Home & Garden,6554.76,1899.38,30.0,28.977109764507013
2022-07-21,LATAM,Apparel,4733.68,730.29,12.0,15.427532068073885
2023-09-06,North America,Electronics,5766.91,1932.23,13.0,33.5054647983062
2023-06-28,LATAM,Apparel,11593.77,4057.7,38.0,34.998969274015266
2022-11-11,LATAM,Sports,2750.14,880.44,17.0,32.01437017751824
2024-02-04,LATAM,Beauty,2990.03,185.71,15.0,6.210974471828042
2024-03-30,EMEA,Electronics,4919.5,1583.24,43.0,32.182945421282646
2022-02-15,LATAM,Beauty,5362.71,743.16,20.0,13.85791885073032
2022-11-03,Middle East,Home & Garden,12202.67,1079.32,36.0,8.844949506952167
2022-02-21,APAC,Apparel,10387.49,3383.19,32.0,32.569850849435234
2022-04-10,North America,Sports,382.45,119.34,4.0,31.204078964570535
2023-08-21,LATAM,Apparel,9670.9,1154.67,32.0,11.939633332988658
2023-03-14,EMEA,Home & Garden,1220.55,68.86,5.0,5.6417188972184675
2023-12-29,North America,Sports,1055.53,62.16,4.0,5.888984680681743
2022-02-03,North America,Home & Garden,12767.42,3858.63,40.0,30.222472512065867
2023-05-28,North America,Apparel,13667.06,1461.75,41.0,10.695423887800303
2022-10-23,North America,Apparel,23343.03,3252.9,44.0,13.935208925319465
2024-03-23,EMEA,Beauty,6707.73,1253.82,32.0,18.69216560595015
2024-04-10,APAC,Beauty,341.64,106.19,25.0,31.082425945439645
2024-11-01,North America,Sports,7484.87,1717.74,29.0,22.949496784847298
2024-08-21,APAC,Home & Garden,24367.3,1856.08,48.0,7.617093399761156
2022-07-09,EMEA,Electronics,2999.7,1050.78,9.0,35.02950295029503
2024-08-05,Middle East,Home & Garden,397.43,78.98,8.0,19.872681981732633
2022-05-28,North America,Sports,9923.99,2367.25,42.0,23.85381283133095
2023-09-23,North America,Sports,320.15,87.36,6.0,27.287209120724665
2022-12-20,APAC,Sports,2543.22,241.69,6.0,9.50330683149708
2023-10-19,North America,Sports,7013.48,1368.21,43.0,19.50828975059457
2023-09-14,APAC,Electronics,5037.87,443.18,27.0,8.796971736070999
2022-04-29,APAC,Home & Garden,11192.15,1566.51,37.0,13.996506479988208
2024-04-16,Middle East,Electronics,3204.62,589.16,48.0,18.38470707915447
2022-09-07,APAC,Electronics,14176.75,3411.76,46.0,24.06588251891301
2023-11-14,North America,Electronics,4707.51,1147.77,10.0,24.38167948660757
2022-08-04,APAC,Home & Garden,1384.36,279.69,3.0,20.20355976769049
2024-01-04,APAC,Beauty,10326.17,2453.55,28.0,23.76050365237063
2024-04-08,North America,Apparel,3473.81,870.39,40.0,25.055774495438726
2024-09-20,EMEA,Electronics,235.46,18.98,8.0,8.060817123927631
2024-03-08,North America,Home & Garden,8823.92,1539.15,30.0,17.442927859726744
2022-05-23,Middle East,Beauty,13741.16,2554.15,27.0,18.58758649197011
2024-08-10,North America,Food & Beverage,5066.73,962.64,17.0,18.999236193758108
2024-05-29,APAC,Sports,5679.89,389.14,14.0,6.851189019505659
2022-06-20,EMEA,Beauty,1049.39,284.74,38.0,27.13385871792184
2023-07-07,Middle East,Electronics,285.63,46.53,3.0,16.29030564016385
2024-10-16,North America,Beauty,4920.54,317.93,49.0,6.461282704743788
2024-07-01,APAC,Beauty,630.06,129.92,2.0,20.620258388090022
2022-04-02,EMEA,Sports,11950.43,2306.49,34.0,19.300477053963746
2022-10-20,APAC,Apparel,1141.78,291.5,35.0,25.530312319361
2023-01-09,EMEA,Food & Beverage,18075.36,4435.19,43.0,24.53721530304237
2022-04-30,EMEA,Beauty,873.48,139.88,9.0,16.014104501534092
2024-12-23,APAC,Home & Garden,700.13,145.63,14.0,20.800422778626825
2022-03-18,North America,Beauty,11616.07,1683.43,39.0,14.492250821491263
2024-06-13,North America,Beauty,3209.15,333.11,18.0,10.38000716700684
2024-07-27,EMEA,Apparel,149.45,53.91,4.0,36.0722649715624
2022-09-26,North America,Apparel,7510.87,1416.51,19.0,18.85946634677474
2023-07-18,North America,Apparel,4717.58,1232.02,14.0,26.115508375056702
2022-05-20,Middle East,Home & Garden,532.86,47.86,2.0,8.9817212776339
2023-10-21,APAC,Food & Beverage,5200.1,687.82,23.0,13.227053325897579
2022-03-18,Middle East,Electronics,3130.95,591.37,13.0,18.887877481275652
2022-08-06,EMEA,Home & Garden,633.87,100.24,8.0,15.813968163819078
2023-07-10,Middle East,Sports,1187.2,164.59,13.0,13.86371293800539
2023-06-05,Middle East,Apparel,298.77,55.42,30.0,18.549385815175555
2022-12-21,EMEA,Sports,18328.76,6199.49,39.0,33.823837510011586
2022-12-28,North America,Apparel,261.63,47.54,4.0,18.17069907885181
2024-04-16,LATAM,Home & Garden,538.81,165.3,2.0,30.678717915406178
2024-09-20,EMEA,Electronics,1943.06,148.12,10.0,7.623027595648102
2024-10-19,North America,Apparel,8438.25,2311.7,25.0,27.395490771190705
2023-12-13,EMEA,Apparel,14742.91,1926.27,35.0,13.06573803950509
2023-10-24,LATAM,Sports,13284.62,1444.98,47.0,10.877089446292027
2024-09-04,APAC,Apparel,12549.91,3893.27,49.0,31.02229418378299
2024-06-21,Middle East,Electronics,12103.05,1100.02,42.0,9.08878340583572
2023-02-15,North America,Apparel,9827.75,3067.32,30.0,31.210806135687214
2022-09-23,North America,Apparel,7021.91,2380.76,24.0,33.90473532130147
2024-02-03,APAC,Sports,15730.33,2715.25,46.0,17.261239910415103
2022-01-09,North America,Food & Beverage,2437.62,299.66,35.0,12.293138389084437
2022-09-28,LATAM,Sports,4371.38,1598.2,47.0,36.56053694714255
2023-08-14,North America,Sports,4511.17,280.92,48.0,6.227209349237559
2023-05-02,North America,Beauty,2492.62,196.87,31.0,7.898115236177196
2022-10-30,Middle East,Electronics,3667.17,988.16,46.0,26.946119214544183
2022-06-15,North America,Apparel,730.11,114.72,12.0,15.712700825902944
2024-07-11,LATAM,Apparel,10528.32,2493.46,31.0,23.68336068812498
2023-08-27,LATAM,Electronics,227.84,62.9,1.0,27.607092696629216
2023-11-05,APAC,Sports,909.0,126.53,15.0,13.91969196919692
2024-05-28,Middle East,Home & Garden,1921.45,285.31,27.0,14.848681984959274
2024-03-25,LATAM,Food & Beverage,8457.11,1213.01,48.0,14.343079373450268
2022-09-26,Middle East,Food & Beverage,175.72,19.24,9.0,10.949237423173228
2022-02-05,North America,Electronics,1359.67,225.5,35.0,16.584906631756233
2022-10-06,APAC,Apparel,3608.86,776.43,33.0,21.514550301203148
2024-04-20,Middle East,Electronics,8111.83,1164.23,36.0,14.35224850619404
2023-07-23,Middle East,Electronics,19944.13,1161.85,48.0,5.825523600177094
2024-08-17,EMEA,Food & Beverage,8964.88,1305.59,32.0,14.563385120603959
2022-05-24,LATAM,Sports,749.57,64.99,17.0,8.67030430780314
2023-02-22,APAC,Apparel,3820.48,345.87,12.0,9.053050925538152
2024-04-01,LATAM,Electronics,6531.5,951.08,25.0,14.561433055194058
2022-02-19,LATAM,Sports,512.53,64.52,4.0,12.588531403039822
2023-04-18,EMEA,Home & Garden,2454.6,555.086064249572,6.0,22.61411489650338
2024-08-15,North America,Home & Garden,1511.68,197.41,10.0,13.058980736663845
2024-05-26,APAC,Food & Beverage,8174.63,1830.16,21.0,22.38829158016938
2022-11-22,Middle East,Food & Beverage,1454.95,97.19,39.0,6.6799546376164125
2022-01-25,North America,Beauty,3313.43,740.69,17.0,22.35417678961077
2022-08-10,APAC,Electronics,4562.39,1682.12,42.0,36.869272464651196
2024-08-07,North America,Food & Beverage,2718.33,677.69,13.0,24.930380049515698
2022-09-07,North America,Apparel,7604.16,546.2,34.0,7.182910406935152
2022-09-25,LATAM,Beauty,130.14,34.04,25.0,26.156446903334874
2023-12-23,APAC,Food & Beverage,7748.64,2884.9,35.0,37.23104957773235
2024-10-17,APAC,Apparel,8805.75,1035.83,18.0,11.763109331970586
2022-10-21,North America,Beauty,2576.89,344.05,47.0,13.351365405585804
2022-11-21,Middle East,Home & Garden,7182.42,1685.1,25.0,23.461451711261663
2022-01-12,EMEA,Home & Garden,11640.81,1033.0,33.0,8.87395292939237
2024-05-02,EMEA,Electronics,6449.09,1591.0,24.0,24.67014726108645
2024-04-02,North America,Apparel,16573.16,5243.77,36.0,31.640133806709166
2023-11-10,LATAM,Electronics,1256.25,276.07,10.0,21.975721393034824
2024-04-06,APAC,Electronics,11925.05,3583.66,35.0,30.051530182263384
2022-10-30,LATAM,Beauty,16806.24,1238.98,46.0,7.372142727939146
2024-12-06,EMEA,Electronics,3827.44,233.0,20.0,6.087619923499781
2022-06-09,North America,Apparel,8059.65,3040.16,49.0,37.72074469735038
2023-02-19,Middle East,Electronics,2054.36,418.85,49.0,20.388344788644638
2024-06-11,North America,Apparel,5209.25,1846.12,11.0,35.43926668906272
2023-05-12,EMEA,Food & Beverage,10539.15,967.97,41.0,9.184516777918523
2022-03-20,North America,Beauty,11312.92,1180.13,47.0,10.431701099274106
2023-08-08,LATAM,Beauty,7547.0,565.31,14.0,7.490526036835828
2023-12-03,Middle East,Home & Garden,1497.06,324.6,3.0,21.68249769548315
2023-08-04,EMEA,Sports,932.29,300.99,13.0,32.28501861008914
2022-11-05,North America,Home & Garden,1903.23,412.7,4.0,21.684189509412942
2024-06-06,APAC,Beauty,5225.17,1056.89,30.0,20.226901708461163
2022-11-28,EMEA,Food & Beverage,175.19,65.76,1.0,37.53638906330271
2022-09-15,LATAM,Electronics,5381.5,633.71,16.0,11.775713091145592
2022-03-30,EMEA,Sports,168.55,12.51,6.0,7.4221299317709875
2023-06-06,North America,Home & Garden,14488.4,4725.67,49.0,32.61692112310538
2024-07-26,North America,Food & Beverage,7775.7,535.59,22.0,6.887997222115051
2022-05-22,APAC,Electronics,605.88,74.25,33.0,12.254901960784313
2022-05-27,Middle East,Food & Beverage,5077.54,1741.02,12.0,34.28865159112483
2024-06-29,Middle East,Beauty,15966.74,4544.57,45.0,28.462729398737626
2022-04-08,APAC,Apparel,6606.03,1399.51,27.0,21.18534127153525
2024-05-31,North America,Food & Beverage,3288.67,838.94,7.0,25.51000860530245
2023-12-16,North America,Apparel,1980.77,307.7,9.0,15.534362899276545
2022-11-28,Middle East,Beauty,15295.57,1175.7,36.0,7.686539305171366
2023-12-16,North America,Electronics,3718.94,1162.02,30.0,31.246000204359305
2023-05-15,APAC,Home & Garden,8366.39,1217.14,18.0,14.547971108207964
2023-06-21,LATAM,Beauty,3431.54,1060.21,14.0,30.89604084463535
2023-09-26,North America,Home & Garden,4521.39,1688.38,10.0,37.34205631454044
2022-12-05,EMEA,Sports,7444.76,1044.9,19.0,14.035375216931104
2023-06-28,Middle East,Sports,15527.4,5366.36,48.0,34.560583227069564
2023-06-29,Middle East,Sports,76.01,10.35,4.0,13.616629390869623
2023-05-26,North America,Apparel,9205.11,854.2,24.0,9.279628380323537
2023-09-03,North America,Beauty,7793.95,2174.64,23.0,27.90164165795264
2022-07-28,EMEA,Food & Beverage,5317.21,1928.92,28.0,36.27691966275547
2022-06-12,EMEA,Sports,10392.79,2028.06,24.0,19.514105451952744
2023-04-06,EMEA,Electronics,7389.56,2764.91,21.0,37.416436161287
2024-06-25,Middle East,Beauty,681.98,187.88,6.0,27.549194991055455
2022-12-17,EMEA,Sports,477.94,127.17,3.0,26.60794241955057
2022-06-17,Middle East,Electronics,3232.24,821.18,11.0,25.405910452194142
2024-11-18,EMEA,Beauty,2800.14,337.64,23.0,12.057968530144922
2022-11-21,LATAM,Food & Beverage,1392.63,165.45,7.0,11.880398957368431
2023-09-20,EMEA,Beauty,12688.75,3760.61,39.0,29.637355925524577
2024-01-06,Middle East,Beauty,7947.35,1772.28,49.0,22.30026360988254
2023-05-07,Middle East,Sports,7188.08,398.28,32.0,5.5408398348376755
2022-01-16,North America,Sports,852.69,134.38,43.0,15.759537463791059
2023-04-26,Middle East,Electronics,8327.87,2729.97,42.0,32.78113130968662
2022-12-23,North America,Beauty,13127.38,1247.68,46.0,9.504409867010784
2023-02-01,North America,Apparel,313.6,114.71,1.0,36.57844387755102
2023-07-15,Middle East,Food & Beverage,1879.39,428.1,41.0,22.77866754638473
2024-01-22,Middle East,Apparel,13595.33,2899.34,44.0,21.325999442455608
2023-10-21,Middle East,Beauty,4057.93,1153.15,26.0,28.417197930964804
2023-10-27,Middle East,Apparel,2163.12,122.87,27.0,5.680221162025223
2023-01-18,EMEA,Home & Garden,714.93,251.37,43.0,35.16008560278629
2024-08-23,LATAM,Food & Beverage,10952.26,2334.928602584703,41.0,21.319148765503222
2022-09-01,LATAM,Home & Garden,16414.52,5626.05,45.0,34.27483715637131
